time,actual_power,predicted_power,prediction_error,absolute_error,source_site,weather_condition
2023-01-01 13:42:00,167.6073,168.75425800000008,-1.146958000000069,1.146958000000069,PVDAQ_4,cloudy
2023-01-01 13:43:00,165.1163,165.61451899999986,-0.49821899999986385,0.49821899999986385,PVDAQ_4,cloudy
2023-01-01 13:44:00,161.4634,162.15152116666627,-0.6881211666662637,0.6881211666662637,PVDAQ_4,cloudy
2023-01-01 13:45:00,155.9761,156.46704066666635,-0.49094066666634717,0.49094066666634717,PVDAQ_4,cloudy
2023-01-01 13:46:00,150.4088,150.5682394666665,-0.15943946666649822,0.15943946666649822,PVDAQ_4,cloudy
2023-01-01 13:47:00,143.9976,141.21632644128778,2.781273558712229,2.781273558712229,PVDAQ_4,cloudy
2023-01-01 13:48:00,140.5872,138.5193554440477,2.0678445559522913,2.0678445559522913,PVDAQ_4,cloudy
2023-01-01 13:49:00,138.6656,135.34193889812306,3.323661101876951,3.323661101876951,PVDAQ_4,cloudy
2023-01-01 13:50:00,137.1586,133.7997981793432,3.358801820656794,3.358801820656794,PVDAQ_4,cloudy
2023-01-01 13:51:00,135.3031,130.90781389105564,4.395286108944362,4.395286108944362,PVDAQ_4,cloudy
2023-01-01 13:52:00,132.7786,128.25627939457138,4.522320605428632,4.522320605428632,PVDAQ_4,cloudy
2023-01-01 13:53:00,130.0639,125.12182069435548,4.942079305644512,4.942079305644512,PVDAQ_4,cloudy
2023-01-01 13:54:00,127.4083,121.99966045159107,5.408639548408928,5.408639548408928,PVDAQ_4,cloudy
2023-01-01 13:55:00,124.3044,121.28552494725577,3.018875052744235,3.018875052744235,PVDAQ_4,cloudy
2023-01-01 13:56:00,120.9302,120.7325284954421,0.19767150455790272,0.19767150455790272,PVDAQ_4,cloudy
2023-01-01 13:57:00,118.1711,116.54629288749949,1.6248071125005055,1.6248071125005055,PVDAQ_4,cloudy
2023-01-01 13:58:00,115.7289,115.1431742868451,0.5857257131549005,0.5857257131549005,PVDAQ_4,cloudy
2023-01-01 13:59:00,114.6483,115.4684955722221,-0.8201955722220902,0.8201955722220902,PVDAQ_4,cloudy
2023-01-01 14:00:00,115.8732,115.68964606507922,0.18355393492078065,0.18355393492078065,PVDAQ_4,cloudy
2023-01-01 14:01:00,117.4408,115.21819146168275,2.222608538317246,2.222608538317246,PVDAQ_4,cloudy
2023-01-01 14:02:00,120.2957,118.16412774490858,2.131572255091413,2.131572255091413,PVDAQ_4,cloudy
2023-01-01 14:03:00,123.6704,121.81928345910642,1.8511165408935852,1.8511165408935852,PVDAQ_4,cloudy
2023-01-01 14:04:00,126.7568,123.08313709710863,3.6736629028913654,3.6736629028913654,PVDAQ_4,cloudy
2023-01-01 14:05:00,128.3893,127.98645194897217,0.4028480510278172,0.4028480510278172,PVDAQ_4,cloudy
2023-01-01 14:06:00,136.0228,133.7788926470121,2.2439073529878897,2.2439073529878897,PVDAQ_4,cloudy
2023-01-01 14:07:00,139.5389,139.35382120476208,0.1850787952379278,0.1850787952379278,PVDAQ_4,cloudy
2023-01-01 14:08:00,152.2352,149.2761934916669,2.95900650833309,2.95900650833309,PVDAQ_4,cloudy
2023-01-01 14:09:00,165.4868,159.74017675000016,5.746623249999828,5.746623249999828,PVDAQ_4,cloudy
2023-01-01 14:10:00,175.6925,172.8200333333334,2.8724666666665826,2.8724666666665826,PVDAQ_4,cloudy
2023-01-01 14:11:00,187.5012,179.4286295,8.072570500000012,8.072570500000012,PVDAQ_4,cloudy
2023-01-01 14:12:00,199.8803,197.94029550000027,1.9400044999997306,1.9400044999997306,PVDAQ_4,cloudy
2023-01-01 14:13:00,221.8419,220.71113799999995,1.130762000000061,1.130762000000061,PVDAQ_4,moderate
2023-01-01 14:14:00,249.1315,247.31840850000012,1.8130914999998708,1.8130914999998708,PVDAQ_4,moderate
2023-01-01 14:15:00,261.7292,260.7316416000003,0.9975583999997184,0.9975583999997184,PVDAQ_4,moderate
2023-01-01 14:16:00,265.5735,265.85039090793657,-0.27689090793654714,0.27689090793654714,PVDAQ_4,moderate
2023-01-01 14:17:00,269.24,268.37163981498753,0.8683601850124774,0.8683601850124774,PVDAQ_4,moderate
2023-01-01 14:18:00,279.4236,274.5461268261902,4.877473173809847,4.877473173809847,PVDAQ_4,moderate
2023-01-01 14:19:00,286.3011,283.5267476599992,2.774352340000803,2.774352340000803,PVDAQ_4,moderate
2023-01-01 14:20:00,272.5896,271.27623191428546,1.3133680857145578,1.3133680857145578,PVDAQ_4,moderate
2023-01-01 14:21:00,268.1964,266.2201851560573,1.976214843942671,1.976214843942671,PVDAQ_4,moderate
2023-01-01 14:22:00,283.9395,281.14320820833376,2.796291791666249,2.796291791666249,PVDAQ_4,moderate
2023-01-01 14:23:00,284.2786,282.84305028697077,1.4355497130292179,1.4355497130292179,PVDAQ_4,moderate
2023-01-01 14:24:00,265.754,267.25559366845226,-1.5015936684522444,1.5015936684522444,PVDAQ_4,moderate
2023-01-01 14:25:00,249.6238,247.8316109999999,1.7921890000000928,1.7921890000000928,PVDAQ_4,moderate
2023-01-01 14:26:00,261.5224,260.09954052797667,1.4228594720233332,1.4228594720233332,PVDAQ_4,moderate
2023-01-01 14:27:00,259.8553,255.6706433333331,4.1846566666669105,4.1846566666669105,PVDAQ_4,moderate
2023-01-01 14:28:00,259.1113,255.53358500000047,3.577714999999557,3.577714999999557,PVDAQ_4,moderate
2023-01-01 14:29:00,251.9495,249.2196975000001,2.7298024999998916,2.7298024999998916,PVDAQ_4,moderate
2023-01-01 14:30:00,242.7605,239.33959900000002,3.4209009999999864,3.4209009999999864,PVDAQ_4,moderate
2023-01-01 14:31:00,233.9144,230.70894949999987,3.2054505000001257,3.2054505000001257,PVDAQ_4,moderate
2023-01-01 14:32:00,225.2177,222.08408649999976,3.1336135000002514,3.1336135000002514,PVDAQ_4,moderate
2023-01-01 14:33:00,209.4632,203.65154950000016,5.811650499999843,5.811650499999843,PVDAQ_4,cloudy
2023-01-01 14:34:00,199.9556,198.69896249999988,1.2566375000001244,1.2566375000001244,PVDAQ_4,cloudy
2023-01-01 14:35:00,179.8405,179.84630449999995,-0.005804499999953805,0.005804499999953805,PVDAQ_4,cloudy
2023-01-01 14:36:00,164.698,164.6916926666666,0.00630733333341027,0.00630733333341027,PVDAQ_4,cloudy
2023-01-01 14:37:00,155.5389,156.04569524999985,-0.5067952499998398,0.5067952499998398,PVDAQ_4,cloudy
2023-01-01 14:38:00,149.3368,149.1075819083334,0.22921809166660978,0.22921809166660978,PVDAQ_4,cloudy
2023-01-01 14:39:00,142.2689,139.10163219246041,3.167267807539588,3.167267807539588,PVDAQ_4,cloudy
2023-01-01 14:40:00,136.6348,136.51159025394472,0.123209746055295,0.123209746055295,PVDAQ_4,cloudy
2023-01-01 14:41:00,131.8594,129.0280551978825,2.831344802117485,2.831344802117485,PVDAQ_4,cloudy
2023-01-01 14:42:00,127.7317,123.80495634977954,3.926743650220459,3.926743650220459,PVDAQ_4,cloudy
2023-01-01 14:43:00,125.3864,122.69161128890138,2.69478871109861,2.69478871109861,PVDAQ_4,cloudy
2023-01-01 14:44:00,123.6867,122.69308615952687,0.993613840473131,0.993613840473131,PVDAQ_4,cloudy
2023-01-01 14:45:00,123.0773,122.13889431426651,0.9384056857334855,0.9384056857334855,PVDAQ_4,cloudy
